mp_id,formula,sites,composition,a_edge (angstrom),b_edge (angstrom),c_edge (angstrom),alpha_ang (deg),beta_ang (deg),gamma_ang (deg),crystal_system,space_group,total_magnetisation (bohr),energy_per_atom (eV/atom),formation_energy (eV/atom),energy_above_hull (eV/atom),stable,density (g/cc),band_gap (eV),direct_bandgap,volume (cubic-angstrom),bulk_modulus (GPa),shear_modulus (GPa)
mp-560560,CdSiO3,60,Cd1 Si1 O3,7.28599731,6.992660796204553,15.107757884567725,85.1239040001858,90.0,90.0,mono,P2_1/c,0.0,-6.781450762500001,-2.5356085155,0.0,True,4.897479561547846,2.8901000000000003,False,766.931992499724,,
mp-776023,CdSiO3,40,Cd1 Si1 O3,5.519971,9.745057,9.852316,90.0,90.0,90.0,ortho,Pbcn,0.0025586,-6.75465183,-2.508809583,0.026798932500001003,False,4.724748711745973,2.7666999999999993,True,529.9800388010572,,
mp-1016881,CdSnO3,5,Cd1 Sn1 O3,4.057399,4.057399,4.057399,90.0,90.0,90.0,cubic,Pm-3m,7.99e-05,-5.454133626,-1.4914406139999992,0.346307218000002,False,6.938980318308384,0.0,False,66.7948768517519,"{'voigt': 152.367, 'reuss': 152.367, 'vrh': 152.367}","{'voigt': 66.139, 'reuss': 62.242, 'vrh': 64.191}"
mp-1182642,CdSnO3,10,Cd1 Sn1 O3,6.704443504277891,8.489199226038933,3.365316349901744,89.84814720464516,120.33625722831562,73.32165020362447,mono,P2_1/m,0.000462599999999,-5.720829872,-1.7581368599999991,0.079610972000002,False,5.949277673370609,0.7079000000000001,True,155.81331424913833,,
mp-754329,CdSnO3,10,Cd1 Sn1 O3,5.933372170789357,5.933372292533809,5.933373282982338,55.148473446278835,55.14848065641943,55.148484509725876,trig,R-3,0.0,-5.800440844000002,-1.8377478320000011,0.0,True,7.073964607426622,0.9762000000000001,False,131.04061486299892,,
mp-849371,CdSnO3,20,Cd1 Sn1 O3,5.47790823,5.60073751,7.91411222,90.0,90.0,90.0,ortho,Pnma,0.0,-5.7700575915000005,-1.807364579499999,0.030383252500001002,False,7.6354849403898974,0.690399999999999,True,242.8075437023761,,
mp-1189706,CdTcO3,20,Cd1 Tc1 O3,5.457801,5.548414,7.891164,90.0,90.0,90.0,ortho,Pnma,9.7481544,-6.785474975,-1.552568544999999,0.11591081350000002,False,7.18272824752602,0.0,False,238.9613288887264,,
mp-28290,CdTeO3,40,Cd1 Te1 O3,11.30735991,7.451632651827147,7.831885008582168,66.4474482738255,90.0,90.0,mono,P2_1/c,0.0,-5.31107154725,-1.521631727583333,0.0,True,6.3247319197303185,3.019,False,604.9274931616135,,
mp-10036,Ce3AlC,5,Ce3 Al1 C1,4.98731642,4.98731967,4.98728285,90.0,90.0,90.0,cubic,Pm-3m,2.5469901,-6.384507629999999,-0.22748944349999703,0.0,True,6.148730535293477,0.0,False,124.05038839781575,"{'voigt': 64.659, 'reuss': 64.659, 'vrh': 64.659}","{'voigt': 44.04, 'reuss': 42.144, 'vrh': 43.092}"
mp-10881,Ce3AlN,5,Ce3 Al1 N1,4.90922468,4.90926019,4.90924297,90.0,90.0,90.0,cubic,Pm-3m,2.5442481,-22.576308064,-0.8997610077499981,0.0,True,6.474752646871416,0.0,False,118.31600198715861,,
